股票代码,日期,开盘,最高,最低,收盘,前收盘,成交量,成交额,adjustflag,换手率,tradestatus,涨跌幅,市盈率,市净率
000001,2021-06-01,20.1256880000,20.1672700000,19.5435400000,19.8928288000,20.1256880000,62501796,1490476624.5600,2,0.322100,1,-1.157000,15.213344,1.533634
000001,2021-06-02,19.8678796000,19.8928288000,19.4437432000,19.8678796000,19.8928288000,49752702,1176608126.9900,2,0.256400,1,-0.125400,15.194264,1.531710
000001,2021-06-03,19.7265008000,20.0757896000,19.6932352000,19.7680828000,19.8678796000,40090085,958876472.4500,2,0.206600,1,-0.502300,15.117943,1.524017
000001,2021-06-04,19.9510436000,20.7577344000,19.7930320000,20.4084456000,19.7680828000,75673942,1851425837.6100,2,0.390000,1,3.239400,15.607670,1.573385
000001,2021-06-07,20.3585472000,20.3585472000,19.9011452000,20.2088520000,20.4084456000,44791410,1081738832.9500,2,0.230800,1,-0.978000,15.455028,1.557998
000001,2021-06-08,20.0841060000,20.4333948000,19.9177780000,20.4001292000,20.2088520000,57007792,1384120301.2700,2,0.293800,1,0.946500,15.601310,1.572744
000001,2021-06-09,20.3169652000,20.6912032000,20.1090552000,20.4999260000,20.4001292000,45383150,1116771375.4600,2,0.233900,1,0.489200,15.677631,1.580438
000001,2021-06-10,20.5082424000,20.8408984000,20.0841060000,20.1256880000,20.4999260000,53021516,1294972566.6500,2,0.273200,1,-1.825600,15.391427,1.551586
000001,2021-06-11,20.2171684000,20.2504340000,19.2275168000,19.4354268000,20.1256880000,83466504,1965393115.5000,2,0.430100,1,-3.429800,14.863539,1.498371
000001,2021-06-15,19.4187940000,19.4853252000,18.9613920000,19.3106808000,19.4354268000,66062259,1524503477.6700,2,0.340400,1,-0.641800,14.768138,1.488753
000001,2021-06-16,19.3106808000,19.4603760000,19.1360364000,19.3439464000,19.3106808000,37820804,878470834.1200,2,0.194900,1,0.172300,14.793578,1.491318
